n,insertDuration,searchDuration,startsWithDuration,getAllWithPrefixDuration
5811,9292,2542,833,14167
5821,9667,2708,750,14541
5831,9708,2875,667,19333
5841,9500,2542,667,21458
5851,9042,2667,666,12291
5861,9583,2583,666,17959
5871,8541,2750,709,13625
5881,9209,2791,667,8750
5891,9250,13209,709,20291
5901,9333,2792,666,17792
5911,8708,2667,625,20208
5921,9500,2625,1250,20000
5931,8875,3125,1042,15084
5941,9209,2750,1000,16625
5951,9292,3000,750,15917
5961,9833,2667,708,13625
5971,9042,2583,667,14625
5981,9708,2583,834,10708
5991,9750,2958,709,19375
6001,9375,2750,750,18583
6011,9500,2584,791,19667
6021,9458,2750,750,16875
6031,9333,2834,875,13542
6041,11458,2958,792,18792
6051,8833,2542,750,17375
6061,9792,3125,1000,29375
6071,8916,2917,792,16458
6081,9625,2916,708,15667
6091,9792,2792,750,19333
6101,9500,2916,1084,24708
6111,8666,2958,834,20791
6121,9250,2500,667,26250
6131,9750,2792,708,17083
6141,8459,2625,666,16542
6151,9250,2667,958,22667
6161,9375,2792,833,16834
6171,9750,2583,667,17541
6181,9417,2708,625,18792
6191,8542,2541,792,17291
6201,9209,2666,625,19958
6211,7667,2708,750,17334
6221,9125,2584,708,16584
6231,8500,2792,750,12500
6241,9625,2667,666,14709
6251,9209,2791,625,20458
6261,9458,2584,666,11875
6271,8709,2625,583,11750
6281,9083,2667,667,19917
6291,9167,2541,708,16625
6301,9333,2708,667,11750
6311,8375,2500,709,20416
6321,9417,2750,958,21917
6331,9667,2583,708,22584
6341,7541,2708,750,22875
6351,9375,2916,791,19625
6361,9375,2750,709,15291
6371,8375,2542,625,19417
6381,8458,2625,667,22958
6391,9500,2667,666,11542
6401,10709,2583,667,18083
6411,8667,2542,750,20125
6421,9416,2750,625,14167
6431,8416,2625,750,14250
6441,9167,2583,667,16000
6451,9875,2833,667,18166
6461,11084,2958,750,10625
6471,9209,2584,667,19375
6481,9583,2750,750,26000
6491,9250,2917,667,10250
6501,9291,2709,833,22667
6511,8500,2583,667,18125
6521,9958,2708,834,24250
6531,8584,2750,667,17042
6541,9250,2584,625,12875
6551,9000,2708,667,27750
6561,9458,2791,708,12708
6571,10125,2625,667,23209
6581,9458,2750,708,17792
6591,9417,3000,792,27958
6601,9750,2792,708,14250
6611,9208,2584,750,15250
6621,9292,2583,792,16875
6631,8833,2625,750,20333
6641,9625,2792,1000,15542
6651,9084,2875,958,20084
6661,9000,2750,792,18625
6671,10667,2750,750,25292
6681,9167,2833,1042,20042
6691,9708,2750,958,22000
6701,11291,3167,958,22750
6711,9667,2709,875,25458
6721,9500,2667,1042,22458
6731,9708,2666,1041,21709
6741,9250,2709,750,18833
6751,9333,2791,709,14750
6761,10417,2750,625,24667
6771,11041,2625,1084,21792
6781,9458,2833,917,23500
6791,8708,2667,666,23959
6801,8875,2792,667,22208
6811,10750,3083,667,28375
6821,9041,2667,666,25209
6831,8666,2625,708,17625
6841,9750,2666,1083,14375
6851,9542,2917,1042,16000
6861,9208,2792,1167,20916
6871,8708,2834,1166,14959
6881,9500,2917,834,28166
6891,8458,2625,750,20750
6901,8250,2625,667,21250
6911,8584,2625,667,22250
6921,10750,2583,708,19250
6931,9416,2750,667,21666
6941,10542,2500,708,23333
6951,9750,3000,833,25875
6961,9834,2834,1083,16334
6971,9416,2583,1209,19791
